"location","indicator","Unit","Date","Value"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1987","55.69196"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1988","57.87473"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1989","60.47808"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1990","63.29412"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1991","65.42078"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1992","67.43538"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1993","69.20523"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1994","71.02"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1995","73.01923"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1996","75.26538"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1997","77.10783"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1998","78.37458"
"Arkansas","Cost of Living Index","Index, High=High cost of living","1999","80.09604"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2000","83.04192"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2001","85.29109"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2002","86.78195"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2003","88.70616"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2016","88.5"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2017","87.8"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2019","87.1"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2020","88.1"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2021","90.9"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2022","90.6"
"Arkansas","Cost of Living Index","Index, High=High cost of living","2023","89"
"Arkansas","Miscellaneous","Index, High=High cost of living","2017Q1","93.2"
"Arkansas","Miscellaneous","Index, High=High cost of living","2017Q2","91.7"
"Arkansas","Miscellaneous","Index, High=High cost of living","2017Q3","91.7"
"Arkansas","Miscellaneous","Index, High=High cost of living","2018Q1","97"
"Arkansas","Miscellaneous","Index, High=High cost of living","2019Q1","95.7"
"Arkansas","Miscellaneous","Index, High=High cost of living","2019Q2","95.8"
"Arkansas","Miscellaneous","Index, High=High cost of living","2019Q3","95.3"
"Arkansas","Miscellaneous","Index, High=High cost of living","2020Q1","95.5"
"Arkansas","Miscellaneous","Index, High=High cost of living","2020Q3","95.7"
